文件号	测点增量	数据	标记	测量时间	坐标纬度	坐标经度	仪器号	测区号	操作员	方向	线距	点距	配谐	模式	预置场	采样间隔
0008	1	37476.852	0	2025-03-11 16:17:38	LA<N>: 17/10/48.1	LO<E>: 20/55/54.6	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	2	37343.750	0	2025-03-11 16:18:47	LA<N>: 17/10/47.9	LO<E>: 20/55/54.8	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	3	37238.645	0	2025-03-11 16:19:22	LA<N>: 17/10/48.2	LO<E>: 20/55/55.2	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	4	37230.473	0	2025-03-11 16:19:54	LA<N>: 17/10/48.0	LO<E>: 20/55/55.5	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	5	37232.637	0	2025-03-11 16:20:26	LA<N>: 17/10/48.2	LO<E>: 20/55/55.9	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	6	37707.328	0	2025-03-11 16:20:53	LA<N>: 17/10/48.4	LO<E>: 20/55/56.4	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	7	37465.566	0	2025-03-11 16:21:27	LA<N>: 17/10/48.2	LO<E>: 20/55/56.7	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	8	37338.172	0	2025-03-11 16:21:59	LA<N>: 17/10/48.2	LO<E>: 20/55/57.0	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	9	37799.348	0	2025-03-11 16:22:24	LA<N>: 17/10/48.2	LO<E>: 20/55/57.3	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	10	37454.727	0	2025-03-11 16:23:11	LA<N>: 17/10/48.2	LO<E>: 20/55/57.9	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	11	37591.156	0	2025-03-11 16:23:39	LA<N>: 17/10/48.0	LO<E>: 20/55/58.3	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	12	37339.813	0	2025-03-11 16:24:04	LA<N>: 17/10/48.0	LO<E>: 20/55/58.6	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	13	37338.160	0	2025-03-11 16:24:27	LA<N>: 17/10/48.1	LO<E>: 20/55/59.0	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	14	37473.082	0	2025-03-11 16:24:56	LA<N>: 17/10/48.1	LO<E>: 20/55/59.4	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	15	37471.402	0	2025-03-11 16:25:33	LA<N>: 17/10/48.0	LO<E>: 20/55/59.6	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	16	37470.328	0	2025-03-11 16:28:19	LA<N>: 17/10/48.7	LO<E>: 20/55/59.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	17	37698.918	0	2025-03-11 16:28:45	LA<N>: 17/10/48.7	LO<E>: 20/55/59.2	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	18	39363.734	0	2025-03-11 16:29:13	LA<N>: 17/10/48.7	LO<E>: 20/55/58.9	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	19	37580.441	0	2025-03-11 16:29:46	LA<N>: 17/10/48.7	LO<E>: 20/55/58.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	20	37581.836	0	2025-03-11 16:30:15	LA<N>: 17/10/48.8	LO<E>: 20/55/58.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
